Prénom 2000-2012,Nombre 2000-2012,/oo 2000-2012,Prénom 2012,2012,/oo 2012
Emma,914,9.43,Léo,57,9.80
Lucas,875,9.09,Nathan,50,8.60
Léa,781,8.00,Jules,45,7.74
Thomas,772,8.09,Gabriel,45,7.74
Enzo,740,7.99,Lola,45,7.74
Hugo,725,7.37,Hugo,42,7.22
Manon,714,7.28,Emma,40,6.88
Inès,703,7.24,Léa,40,6.88
Théo,660,6.77,Manon,40,6.88
Camille,629,6.46,Jade,38,6.53
Mathis,615,6.64,Lena,38,6.53
Clément,610,6.23,Chloé,37,6.36
Nathan,603,5.97,Louis,37,6.36
Sarah,603,6.14,Maël,36,6.19
Jade,597,6.03,Adam,35,6.02
Tom,593,6.10,Arthur,35,6.02
Chloé,591,5.98,Louise,35,6.02
Clara,577,5.97,Raphaël,35,6.02
Léo,567,5.51,Sarah,34,5.85
Maxime,551,5.71,Clément,33,5.67
Louis,525,5.27,Lucas,33,5.67
Alexandre,524,5.66,Théo,33,5.67
Yanis,507,5.22,Ines,32,5.50
Gabriel,489,4.79,Noah,32,5.50
Arthur,476,4.76,Camille,31,5.33
Paul,472,4.83,Nolan,31,5.33
Raphaël,468,4.67,Alice,30,5.16
Lola,464,4.52,Ethan,30,5.16
Jules,450,4.37,Lou,30,5.16
Eva,433,4.44,Juliette,29,4.99
Marie,414,4.47,Julia,28,4.82
Lisa,406,4.38,Tom,28,4.82
Adam,404,3.98,Ambre,27,4.64
Mathilde,398,4.05,Lina,26,4.47
Anaïs,395,4.26,Nina,25,4.30
Lou,391,3.90,Paul,25,4.30
Juliette,383,3.82,Robin,25,4.30
Baptiste,375,3.83,Clara,24,4.13
Quentin,371,4.00,Mila,24,4.13
Mohamed,368,3.97,Mathilde,23,3.96
Romain,362,3.91,Romane,23,3.96
Lucie,360,3.89,Thomas,23,3.96
Carla,355,3.83,Timéo,23,3.96
Océane,354,3.82,Yanis,23,3.96
Laura,351,3.79,Zoé,23,3.96
Antoine,338,3.65,Eva,22,3.78
Lena,336,3.63,Liam,22,3.78
Nicolas,330,3.56,Maxime,22,3.78
Julie,325,3.51,Anna,21,3.61
Axel,324,3.50,Baptiste,20,3.44
