"ID,N,6,0","NOM,C,50","EXISTANCE,C,50","NBRE_PLACE,N,4,0","TYPARK,C,254","DOM,C,254","COLLDEL,C,254","MODGEST,C,254","EXPLOI,C,254","DATDC,D","DATFC,D","DURC,N,4,0","COORD_X,C,50","COORD_Y,C,50"
1,Arc de Triomphe,Existant,474,Souterrain,Public,Ville de Montpellier,Affermage,EFFIA,01/01/08,31/12/13,6,"3,8732007528","43,6110026707"
2,Triangle,Existant,594,Souterrain,Privé,,Privé,VINCI PARK,,,0,"3,8818441805","43,6092338415"
3,Pitot,Existant,781,Souterrain,Public,Ville de Montpellier,Concession,VINCI PARK,16/12/91,31/12/56,65,"3,8701911694","43,612244942"
4,Arceaux,Existant,220,Surface,Public,Ville de Montpellier,Affermage,TaM,01/01/08,31/12/10,3,"3,8674906679","43,6117164654"
5,Gambetta,Existant,500,Souterrain,Public,Ville de Montpellier,Concession,TaM,22/05/85,31/12/29,44,"3,8713743581","43,6069513813"
6,Laissac,Existant,274,Superstructure,Public,Ville de Montpellier,Affermage,TaM,01/01/09,21/12/11,3,"3,8765879402","43,6061083716"
7,Foch Préfecture,Existant,685,Souterrain,Public,Ville de Montpellier,Concession,VINCI PARK,25/05/71,14/12/13,42,"3,8765708371","43,6107491172"
8,Comédie,Existant,889,Souterrain,Public,Ville de Montpellier,Affermage,TaM,22/12/07,31/12/13,6,"3,8797619605","43,6085609207"
11,Polygone,Existant,1973,Souterrain,Public,Ville de Montpellier,Bail commercial,SPP,,,0,"3,8847653931","43,6083709567"
12,Nombre d'Or,Existant,278,Souterrain,Public,Ville de Montpellier,Affermage,TaM,01/02/10,31/01/14,4,"3,8888189312","43,6087160644"
13,Europa,Existant,600,Souterrain,Public,Ville de Montpellier,Concession,TaM,29/07/94,01/01/36,46,"3,8925307357","43,6078497112"
14,Corum,Existant,500,Souterrain,Public,Communauté d'Agglomération de Montpellier,Concession,TaM,,,0,"3,8822577294","43,6138882149"
17, Joffre,Existant,0,Surface,Public,,,,,,0,"3,8853311493","43,6128811574"
10,Gare Routière,Existant,762,Surface,Privé,,Privé,EFFIA,,,0,"3,8762581283","43,6013488329"
11,Hôtel de ville,Existant,717,Souterrain,Public,Ville de Montpellier,Marché public,EFFIA,01/11/11,31/12/16,5,"3,8961017132","43,5994293742"
12,Charles de Gaulle,Existant,50,Surface,,Agglomération de Montpellier,,TaM,,,,"3,8977621015","43,6285421167"
13,Occitanie,Existant,620,Surface,,Agglomération de Montpellier,,TaM,,,,"3,8485979611","43,6345623249"
14,Sabines,Existant,350,Surface,,Agglomération de Montpellier,,TaM,,,,"3,8602246009","43,5838326256"
16,Odysseum circe,Existant,120,Surface,,Agglomération de Montpellier,,TaM,,,,"3,9204836413","43,6038162658"
17,Euromedecine,Existant,350,Surface,,Agglomération de Montpellier,,TaM,,,,"3,8277236492","43,6389535898"
18,Mosson,Existant,450,Surface,,Agglomération de Montpellier,,TaM,,,,"3,8196655423","43,6162371649"
28,Garcia Lorca,Existant,400,Surface,,Agglomération de Montpellier,,TaM,,,,"3,8907157977","43,590985086"
