Prénom 2000-2013,Nombre 2000-2013,/oo 2000-2013,Prénom 2013,2013,/oo 2013
Emma,953,9.19,Gabriel,50,8.59
Lucas,909,8.77,Louis,45,7.73
Léa,795,7.67,Adam,40,6.87
Thomas,785,7.57,Louise,40,6.87
Enzo,773,7.45,Emma,39,6.70
Hugo,754,7.27,Ethan,39,6.70
Inès,736,7.10,Jade,39,6.70
Manon,735,7.09,Lina,37,6.35
Théo,687,6.63,Lucas,37,6.35
Mathis,659,6.36,Léo,36,6.18
Camille,653,6.30,Raphael,36,6.18
Clément,631,6.09,Hugo,35,6.01
Jade,630,6.08,Lou,35,6.01
Nathan,625,6.03,Sacha,35,6.01
Sarah,625,6.03,Arthur,31,5.32
Tom,616,5.94,Inès,31,5.32
Chloé,608,5.86,Nathan,31,5.32
Léo,600,5.79,Manon,30,5.15
Clara,589,5.68,Tom,30,5.15
Maxime,574,5.54,Baptiste,29,4.98
Louis,566,5.46,Chloé,29,4.98
Alexandre,550,5.30,Jules,29,4.98
Gabriel,528,5.09,Anna,28,4.81
Yanis,524,5.05,Julia,28,4.81
Raphaël,505,4.87,Léna,28,4.81
Arthur,499,4.81,Paul,28,4.81
Paul,499,4.81,Lola,27,4.64
Lola,485,4.68,Mila,27,4.64
Jules,468,4.51,Camille,26,4.46
Eva,451,4.35,Maxime,26,4.46
Adam,437,4.21,Timéo,26,4.46
Lisa,431,4.16,Eden,25,4.29
Marie,427,4.12,Juliette,25,4.29
Anaïs,426,4.11,Mael,25,4.29
Lou,421,4.06,Mathis,25,4.29
Mathilde,409,3.94,Théo,25,4.29
Juliette,404,3.90,Lily,24,4.12
Mohamed,403,3.89,Robin,24,4.12
Baptiste,401,3.87,Alice,23,3.95
Lucie,400,3.86,Eva,23,3.95
Lena,396,3.82,Liam,23,3.95
Quentin,393,3.79,Lucie,23,3.95
Romain,378,3.65,Sarah,23,3.95
Lina,373,3.60,Victor,23,3.95
Louise,373,3.60,Clément,22,3.78
Antoine,372,3.59,Léa,22,3.78
Océane,370,3.57,Margaux,22,3.78
Laura,367,3.54,Noa,22,3.78
Axel,362,3.49,Ambre,21,3.61
Carla,361,3.48,Mathéo,21,3.61
Romane,345,3.33,Mohamed,21,3.61
