OBJECTID,N,9,0;AREA,N,13,11;PERIMETER,N,13,11;SQUARTIER_,N,9,0;QUARTIER,N,9,0;SQUARTMNO,C,3;LIBSQUART,C,25;Shape_Leng,N,19,11;Shape_Area,N,19,11
1;2301380;7061,21;7;1;HOS;Plan des 4 Seigneurs;7063,80336949;2303072,59613
2;6206980;13931,1;8;1;HOP;Hopitaux-Facultés;13936,2911114;6211651,21697
3;3972670;9684,44;9;1;HOA;Aiguelongue;9688,06417322;3975651,2364
4;1931160;8305,84;10;2;PAH;Les Hauts de Massane;8308,95386621;1932615,57883
5;2060110;7405,88;11;3;CVA;Alco;7408,75233283;2061702,41074
6;2622710;7194,74;12;2;PAI;Mosson;7197,50817768;2624731,34147
7;1896860;6133,42;13;6;MIG;Grammont;6135,78791559;1898325,0459
8;845380;4815,76;14;7;MCU;Les Aubes;4817,62940133;846033,702137
9;1660900;5210,38;1;7;MCB;Boutonnet;5212,39212705;1662181,03425
10;1220860;5415,89;15;7;MCX;Les Beaux - Arts;5417,98691138;1221804,65358
11;731280;4335,34;16;6;MIP;La Pompignane;4337,03178454;731847,848575
12;2699010;9160,43;17;6;MIL;Millénaire;9164,00028378;2701112,55316
13;1758340;5549,11;18;3;CVN;Les Cevennes;5551,27682173;1759714,76707
14;831319;5228,6;19;2;PAC;Celleneuve;5230,65043374;831969,9002
15;577583;3610,89;2;7;MCA;Les Arceaux;3612,3062205;578036,193972
16;641896;3529,4;3;7;MCH;Centre Historique;3530,78803039;642399,532953
17;904357;3977,91;20;7;MCN;Antigone;3979,47411315;905067,82229
18;340472;2853,11;4;7;MCC;Comédie;2854,238164;340740,322957
19;3118120;7640,85;21;3;CVM;La Martelle;7643,91668551;3120623,19815
20;5807030;10798,3;22;6;MIP;Port Marianne;10802,5559325;5811664,40375
21;1204370;5065,93;23;3;CVC;La Chamberte;5067,94801268;1205329,80315
22;676643;3468,37;5;7;MCG;Gambetta;3469,74515519;677181,426181
23;598180;3380,53;6;7;MCF;Figuerolles;3381,86597749;598654,297722
24;561098;4078,79;24;7;MCS;Gares;4080,41607018;561544,250754
25;1417470;4878,9;25;4;CXE;Estanove;4880,87081614;1418612,96619
26;1617420;5546,09;26;5;PRA;Aiguerelles;5548,3223858;1618725,11353
27;854602;3870,44;27;5;PRM;Saint Martin;3871,99135107;855292,494355
28;1203740;4997,41;28;4;CXM;Lemasson;4999,43511221;1204719,84646
29;1584620;5516,59;29;4;CXP;Pas du Loup;5518,83063764;1585913,79443
30;3715690;8802,64;30;4;CXA;Croix d'Argent;8806,30087179;3718771,69884
31;1512140;6780,65;31;5;PRE;Près d'Arènes;6783,45370676;1513379,87718
